song,artist,album_cover_url
Did It First (With Central Cee),"Central Cee, Ice Spice",https://i.scdn.co/image/ab67616d0000b273dc9f83f20038d54b78c48aeb
Die For You,The Weeknd,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
Die With A Smile,"Bruno Mars, Lady Gaga",https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45
Died And Came Back,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69
Diet Pepsi,Addison Rae,https://i.scdn.co/image/ab67616d0000b2734e5a5862355a5e953549292b
Disco,Surf Curse,https://i.scdn.co/image/ab67616d0000b273938fa1b1ee50acdc57396e2f
Disease,Lady Gaga,https://i.scdn.co/image/ab67616d0000b273465e58cfc2ee480a7d0ae59d
Disturbia,Rihanna,https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98
Dj Got Us Fallin' In Love (Feat. Pitbull),Usher,https://i.scdn.co/image/ab67616d0000b27386b0c9728ad3ed338eaeea79
Do It,"Kanye West, Ty Dolla $Ign, ¥$",https://i.scdn.co/image/ab67616d0000b2735f4d67e6c3d62045e72d3775
Do They Know It'S Christmas? - 1984 Version,Band Aid,https://i.scdn.co/image/ab67616d0000b273d549b09f0264901929eaa6e8
Do You Hear What I Hear? - Remastered 2006,Bing Crosby,https://i.scdn.co/image/ab67616d0000b2737459a0913548d00ff4455259
Doctor (Work It Out) [Feat. Miley Cyrus],"Miley Cyrus, Pharrell Williams",https://i.scdn.co/image/ab67616d0000b2730b33baa98ef691f09bfa23a1
"Dodger Blue (Feat. Wallie The Sensei, Roddy Ricch, Siete7X)",Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b27309d6ed214f03fbb663e46531
"Dodger Blue (Feat. Wallie The Sensei, Siete7X, Roddy Ricch)",Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58
"Dodger Blue (Feat. Wallie The Sensei, Siete7X, Roddy Ricch))",Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58
Don'T Understand,Post Malone,https://i.scdn.co/image/ab67616d0000b27371cae34ad5a39bdab78af13e
Don'T Wanna Break Up Again,Ariana Grande,https://i.scdn.co/image/ab67616d0000b2738b58d20f1b77295730db15b4
Don’T Blame Me,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b
Don’T Smile,Sabrina Carpenter,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d
Doomsday (With Juice Wrld & Cordae),"Cordae, Juice Wrld, Lyrical Lemonade",https://i.scdn.co/image/ab67616d0000b2737a5767f9da2c8a4265f035d4
