song,artist,album_cover_url
Carry You Home,Alex Warren,https://i.scdn.co/image/ab67616d0000b27305efa6dce38504deb91fe687
Cassandra,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa
Castles Crumbling (Feat. Hayley Williams) (Taylor’S Version) (From The Vault),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
Casual,Chappell Roan,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6
Casualty,Linkin Park,https://i.scdn.co/image/ab67616d0000b273b11a5489e8cb11dd22b930a0
Ceilings,Lizzy Mcalpine,https://i.scdn.co/image/ab67616d0000b273d370fdc4dbc47778b9b667c3
Cha Cha Cha,Käärijä,https://i.scdn.co/image/ab67616d0000b273e9973a2290bd5d88c6aad387
Champagne Supernova,Oasis,https://i.scdn.co/image/ab67616d0000b2736264cf7867d8133bf9650368
Champagne Supernova - Remastered,Oasis,https://i.scdn.co/image/ab67616d0000b2737a4c8c59851c88f6794c3cbf
Cheat On Me (Feat. Dave),Burna Boy,https://i.scdn.co/image/ab67616d0000b27339550ce4ccf28a1a4b82a443
Chemical,Post Malone,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c
Chihiro,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
Chloe Or Sam Or Sophia Or Marcus,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa
Chooky - Busta Rhymes,"Busta Rhymes, Elesia Iimura, O.T",https://i.scdn.co/image/ab67616d0000b2737c322e8dc60425ecafeabd5d
Christmas (Baby Please Come Home),Darlene Love,https://i.scdn.co/image/ab67616d0000b2734bd42504ca3569f71af64fc8
Christmas Lights,Coldplay,https://i.scdn.co/image/ab67616d0000b2735f30d36db3dd22681531d1da
Cigarettes & Alcohol - Remastered,Oasis,https://i.scdn.co/image/ab67616d0000b273d86a1e021e7acc7c07c7d668
Cinderella,"Future, Metro Boomin",https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
Circus Maximus,Travis Scott,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
City Boys,Burna Boy,https://i.scdn.co/image/ab67616d0000b27339550ce4ccf28a1a4b82a443
Clara Bow,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33
Claustrophobic,"Future, Metro Boomin",https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
Clean (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735cc1de8fa9b7c2f27af04958
Clean Baby Sleep White Noise (Loopable),"Baby Sleeps, Background White Noise, Dream Supplier",https://i.scdn.co/image/ab67616d0000b2731cc61714f48de6ab0a52675e
Close To You,Gracie Abrams,https://i.scdn.co/image/ab67616d0000b27305120ec42445d23764388857
Closer,"Bou, Slay",https://i.scdn.co/image/ab67616d0000b2730a76c5660f78f8e512d6629b
Club Classics Featuring Bb Trickz,Charli Xcx,https://i.scdn.co/image/ab67616d0000b27355a1e72ba425c60a02a9bb47
Coincidence,Sabrina Carpenter,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d
Cold Heart - Pnau Remix,Elton John,https://i.scdn.co/image/ab67616d0000b273523458c391fe8180a19a1069
Confidence,Ocean Alley,https://i.scdn.co/image/ab67616d0000b27346329ac2946a9313ff6b52f3
Cream (Feat. Cb),J Hus,https://i.scdn.co/image/ab67616d0000b273cc16159b40907722da91078c
Creepin' (With The Weeknd & 21 Savage),Metro Boomin,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
Crocodile Tearz,J. Cole,https://i.scdn.co/image/ab67616d0000b273b5e99d6177971707e6cd04f5
Cruel Summer,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
Cuff It,Beyoncé,https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7
Cupid - Twin Ver.,Fifty Fifty,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
Cut The Bridge,Linkin Park,https://i.scdn.co/image/ab67616d0000b273b11a5489e8cb11dd22b930a0
Daily Duppy (Feat. Grm Daily),"Grm Daily, Nines",https://i.scdn.co/image/ab67616d0000b27335d3bc3fb2a366e6a54dbfa3
Dance The Night (From Barbie The Album),Dua Lipa,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192
Dance The Night - From Barbie The Album,Dua Lipa,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192
Dancing In The Flames,The Weeknd,https://i.scdn.co/image/ab67616d0000b273f0e9b93cadbeb4d0227a59eb
Dancing In The Moonlight,Toploader,https://i.scdn.co/image/ab67616d0000b273e16a6534cd5a968a5b725d03
Dancing Is Healing,"Charlotte Plank, Rudimental, Vibe Chemistry",https://i.scdn.co/image/ab67616d0000b273b4edd98bf440d1013f6718d0
Dancing Queen,Abba,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0
Dancing Through Life,"Ariana Grande, Cynthia Erivo, Wicked Movie Cast",https://i.scdn.co/image/ab67616d0000b27341ded89391c5350f6b8f991c
Darkside,Bring Me The Horizon,https://i.scdn.co/image/ab67616d0000b27301aa13aa3a7c9f2df2db0d0f
"Darling, I (Feat. Teezo Touchdown)","Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b273232374a6a869e62826f3f1f7
Daughter,Beyoncé,https://i.scdn.co/image/ab67616d0000b2737d673fc006936df22215aee1
Daylight,"Berko Champ, Citosxd, David Kushner, Drake, Lexmendy",https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
Dear John (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
Deck The Hall,Nat King Cole,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
Defying Gravity,"Ariana Grande, Cynthia Erivo, Wicked Movie Cast",https://i.scdn.co/image/ab67616d0000b27341ded89391c5350f6b8f991c
Delresto (Echoes),Travis Scott,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
Delresto (Echoes) (Feat. Beyoncé),Travis Scott,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
Desire (With Sam Smith),"Calvin Harris, Sam Smith",https://i.scdn.co/image/ab67616d0000b27362aaea327f6977dae3c94cdf
Devil Is A Lie,Tommy Richman,https://i.scdn.co/image/ab67616d0000b273f1708ceacc5e678619364239
Dial Drunk,Noah Kahan,https://i.scdn.co/image/ab67616d0000b27365a472d8326d4571bf725422
Dial Drunk (With Post Malone),"Noah Kahan, Post Malone",https://i.scdn.co/image/ab67616d0000b273f519f148d88bf65074b4a3a9
Did It First (With Central Cee),"Central Cee, Ice Spice",https://i.scdn.co/image/ab67616d0000b273dc9f83f20038d54b78c48aeb
Die With A Smile,"Bruno Mars, Lady Gaga",https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45
Diet Pepsi,Addison Rae,https://i.scdn.co/image/ab67616d0000b2734e5a5862355a5e953549292b
Dirty Cash (Money Talks) - Sold Out 7 Inch Mix,The Adventures Of Stevie V,https://i.scdn.co/image/ab67616d0000b2735893643e11d44e3ef569479c
Disconnect,"Becky Hill, Chase, Status",https://i.scdn.co/image/ab67616d0000b27309dc775999d5a6d87d156c2f
Disease,Lady Gaga,https://i.scdn.co/image/ab67616d0000b273465e58cfc2ee480a7d0ae59d
Disturbia,Rihanna,https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98
Dj Play A Christmas Song,Cher,https://i.scdn.co/image/ab67616d0000b273975b86124c181e9477f0d154
